row,col,expected,actual,file
10226,CH4,no trailing characters,15:16:00,literal data
10226,NA,22 columns,25 columns,literal data
10227,DATE,date like ,2,literal data
10227,TIME,time like ,in,literal data
10227,H2O,a double,"wetl""",literal data
10227,CO2,no trailing characters,2023-07-19,literal data
10227,CH4,no trailing characters,15:16:01,literal data
10227,NA,22 columns,25 columns,literal data
10228,DATE,date like ,2,literal data
10228,TIME,time like ,in,literal data
10228,H2O,a double,"wetl""",literal data
10228,CO2,no trailing characters,2023-07-19,literal data
10228,CH4,no trailing characters,15:16:02,literal data
10228,NA,22 columns,25 columns,literal data
10229,DATE,date like ,2,literal data
10229,TIME,time like ,in,literal data
10229,H2O,a double,"wetl""",literal data
10229,CO2,no trailing characters,2023-07-19,literal data
10229,CH4,no trailing characters,15:16:03,literal data
10229,NA,22 columns,25 columns,literal data
10230,DATE,date like ,2,literal data
10230,TIME,time like ,in,literal data
10230,H2O,a double,"wetl""",literal data
10230,CO2,no trailing characters,2023-07-19,literal data
10230,CH4,no trailing characters,15:16:04,literal data
10230,NA,22 columns,25 columns,literal data
10231,DATE,date like ,2,literal data
10231,TIME,time like ,in,literal data
10231,H2O,a double,"wetl""",literal data
10231,CO2,no trailing characters,2023-07-19,literal data
10231,CH4,no trailing characters,15:16:05,literal data
10231,NA,22 columns,25 columns,literal data
10232,DATE,date like ,2,literal data
10232,TIME,time like ,in,literal data
10232,H2O,a double,"wetl""",literal data
10232,CO2,no trailing characters,2023-07-19,literal data
10232,CH4,no trailing characters,15:16:06,literal data
10232,NA,22 columns,25 columns,literal data
10233,DATE,date like ,2,literal data
10233,TIME,time like ,in,literal data
10233,H2O,a double,"wetl""",literal data
10233,CO2,no trailing characters,2023-07-19,literal data
10233,CH4,no trailing characters,15:16:07,literal data
10233,NA,22 columns,25 columns,literal data
10234,DATE,date like ,2,literal data
10234,TIME,time like ,in,literal data
10234,H2O,a double,"wetl""",literal data
10234,CO2,no trailing characters,2023-07-19,literal data
10234,CH4,no trailing characters,15:16:08,literal data
10234,NA,22 columns,25 columns,literal data
10235,DATE,date like ,2,literal data
10235,TIME,time like ,in,literal data
10235,H2O,a double,"wetl""",literal data
10235,CO2,no trailing characters,2023-07-19,literal data
10235,CH4,no trailing characters,15:16:09,literal data
10235,NA,22 columns,25 columns,literal data
10236,DATE,date like ,2,literal data
10236,TIME,time like ,in,literal data
10236,H2O,a double,"wetl""",literal data
10236,CO2,no trailing characters,2023-07-19,literal data
10236,CH4,no trailing characters,15:16:10,literal data
10236,NA,22 columns,25 columns,literal data
10237,DATE,date like ,2,literal data
10237,TIME,time like ,in,literal data
10237,H2O,a double,"wetl""",literal data
10237,CO2,no trailing characters,2023-07-19,literal data
10237,CH4,no trailing characters,15:16:11,literal data
10237,NA,22 columns,25 columns,literal data
10238,DATE,date like ,2,literal data
10238,TIME,time like ,in,literal data
10238,H2O,a double,"wetl""",literal data
10238,CO2,no trailing characters,2023-07-19,literal data
10238,CH4,no trailing characters,15:16:12,literal data
10238,NA,22 columns,25 columns,literal data
10239,DATE,date like ,2,literal data
10239,TIME,time like ,in,literal data
10239,H2O,a double,"wetl""",literal data
10239,CO2,no trailing characters,2023-07-19,literal data
10239,CH4,no trailing characters,15:16:13,literal data
10239,NA,22 columns,25 columns,literal data
10240,DATE,date like ,2,literal data
10240,TIME,time like ,in,literal data
10240,H2O,a double,"wetl""",literal data
10240,CO2,no trailing characters,2023-07-19,literal data
10240,CH4,no trailing characters,15:16:14,literal data
10240,NA,22 columns,25 columns,literal data
10241,DATE,date like ,2,literal data
10241,TIME,time like ,in,literal data
10241,H2O,a double,"wetl""",literal data
10241,CO2,no trailing characters,2023-07-19,literal data
10241,CH4,no trailing characters,15:16:15,literal data
10241,NA,22 columns,25 columns,literal data
10242,DATE,date like ,2,literal data
10242,TIME,time like ,in,literal data
10242,H2O,a double,"wetl""",literal data
10242,CO2,no trailing characters,2023-07-19,literal data
10242,CH4,no trailing characters,15:16:16,literal data
10242,NA,22 columns,25 columns,literal data
10243,DATE,date like ,2,literal data
10243,TIME,time like ,in,literal data
10243,H2O,a double,"wetl""",literal data
